country_id,country
1,Switzerland
2,Iceland
3,Denmark
4,Norway
5,Canada
6,Finland
7,Netherlands
8,Sweden
9,New Zealand
10,Australia
11,Israel
12,Costa Rica
13,Austria
14,Mexico
15,United States
16,Brazil
17,Luxembourg
18,Ireland
19,Belgium
20,United Arab Emirates
21,United Kingdom
22,Oman
23,Venezuela
24,Singapore
25,Panama
26,Germany
27,Chile
28,Qatar
29,France
30,Argentina
31,Czech Republic
32,Uruguay
33,Colombia
34,Thailand
35,Saudi Arabia
36,Spain
37,Malta
38,Taiwan
39,Kuwait
40,Suriname
41,Trinidad and Tobago
42,El Salvador
43,Guatemala
44,Uzbekistan
45,Slovakia
46,Japan
47,South Korea
48,Ecuador
49,Bahrain
50,Italy
51,Bolivia
52,Moldova
53,Paraguay
54,Kazakhstan
55,Slovenia
56,Lithuania
57,Nicaragua
58,Peru
59,Belarus
60,Poland
61,Malaysia
62,Croatia
63,Libya
64,Russia
65,Jamaica
66,North Cyprus
67,Cyprus
68,Algeria
69,Kosovo
70,Turkmenistan
71,Mauritius
72,Hong Kong
73,Estonia
74,Indonesia
75,Vietnam
76,Turkey
77,Kyrgyzstan
78,Nigeria
79,Bhutan
80,Azerbaijan
81,Pakistan
82,Jordan
83,Montenegro
84,China
85,Zambia
86,Romania
87,Serbia
88,Portugal
89,Latvia
90,Philippines
91,Somaliland region
92,Morocco
93,Macedonia
94,Mozambique
95,Albania
96,Bosnia and Herzegovina
97,Lesotho
98,Dominican Republic
99,Laos
100,Mongolia
101,Swaziland
102,Greece
103,Lebanon
104,Hungary
105,Honduras
106,Tajikistan
107,Tunisia
108,Palestine
109,Bangladesh
110,Iran
111,Ukraine
112,Iraq
113,South Africa
114,Ghana
115,Zimbabwe
116,Liberia
117,India
118,Sudan
119,Haiti
120,Democratic Republic of the Congo
121,Nepal
122,Ethiopia
123,Sierra Leone
124,Mauritania
125,Kenya
126,Djibouti
127,Armenia
128,Botswana
129,Myanmar
130,Georgia
131,Malawi
132,Sri Lanka
133,Cameroon
134,Bulgaria
135,Egypt
136,Yemen
137,Angola
138,Mali
139,Republic of the Congo
140,Comoros
141,Uganda
142,Senegal
143,Gabon
144,Niger
145,Cambodia
146,Tanzania
147,Madagascar
148,Central African Republic
149,Chad
150,Guinea
151,Ivory Coast
152,Burkina Faso
153,Afghanistan
154,Rwanda
155,Benin
156,Syria
157,Burundi
158,Togo
159,Denmark
160,Switzerland
161,Iceland
162,Norway
163,Finland
164,Canada
165,Netherlands
166,New Zealand
167,Australia
168,Sweden
169,Israel
170,Austria
171,United States
172,Costa Rica
173,Puerto Rico
174,Germany
175,Brazil
176,Belgium
177,Ireland
178,Luxembourg
179,Mexico
180,Singapore
181,United Kingdom
182,Chile
183,Panama
184,Argentina
185,Czech Republic
186,United Arab Emirates
187,Uruguay
188,Malta
189,Colombia
190,France
191,Thailand
192,Saudi Arabia
193,Taiwan
194,Qatar
195,Spain
196,Algeria
197,Guatemala
198,Suriname
199,Kuwait
200,Bahrain
201,Trinidad and Tobago
202,Venezuela
203,Slovakia
204,El Salvador
205,Malaysia
206,Nicaragua
207,Uzbekistan
208,Italy
209,Ecuador
210,Belize
211,Japan
212,Kazakhstan
213,Moldova
214,Russia
215,Poland
216,South Korea
217,Bolivia
218,Lithuania
219,Belarus
220,North Cyprus
221,Slovenia
222,Peru
223,Turkmenistan
224,Mauritius
225,Libya
226,Latvia
227,Cyprus
228,Paraguay
229,Romania
230,Estonia
231,Jamaica
232,Croatia
233,Hong Kong
234,Somalia
235,Kosovo
236,Turkey
237,Indonesia
238,Jordan
239,Azerbaijan
240,Philippines
241,China
242,Bhutan
243,Kyrgyzstan
244,Serbia
245,Bosnia and Herzegovina
246,Montenegro
247,Dominican Republic
248,Morocco
249,Hungary
250,Pakistan
251,Lebanon
252,Portugal
253,Macedonia
254,Vietnam
255,Somaliland Region
256,Tunisia
257,Greece
258,Tajikistan
259,Mongolia
260,Laos
261,Nigeria
262,Honduras
263,Iran
264,Zambia
265,Nepal
266,Palestine
267,Albania
268,Bangladesh
269,Sierra Leone
270,Iraq
271,Namibia
272,Cameroon
273,Ethiopia
274,South Africa
275,Sri Lanka
276,India
277,Myanmar
278,Egypt
279,Armenia
280,Kenya
281,Ukraine
282,Ghana
283,Democratic Republic of the Congo
284,Georgia
285,Republic of the Congo
286,Senegal
287,Bulgaria
288,Mauritania
289,Zimbabwe
290,Malawi
291,Sudan
292,Gabon
293,Mali
294,Haiti
295,Botswana
296,Comoros
297,Ivory Coast
298,Cambodia
299,Angola
300,Niger
301,South Sudan
302,Chad
303,Burkina Faso
304,Uganda
305,Yemen
306,Madagascar
307,Tanzania
308,Liberia
309,Guinea
310,Rwanda
311,Benin
312,Afghanistan
313,Togo
314,Syria
315,Burundi
316,Norway
317,Denmark
318,Iceland
319,Switzerland
320,Finland
321,Netherlands
322,Canada
323,New Zealand
324,Sweden
325,Australia
326,Israel
327,Costa Rica
328,Austria
329,United States
330,Ireland
331,Germany
332,Belgium
333,Luxembourg
334,United Kingdom
335,Chile
336,United Arab Emirates
337,Brazil
338,Czech Republic
339,Argentina
340,Mexico
341,Singapore
342,Malta
343,Uruguay
344,Guatemala
345,Panama
346,France
347,Thailand
348,Taiwan
349,Spain
350,Qatar
351,Colombia
352,Saudi Arabia
353,Trinidad and Tobago
354,Kuwait
355,Slovakia
356,Bahrain
357,Malaysia
358,Nicaragua
359,Ecuador
360,El Salvador
361,Poland
362,Uzbekistan
363,Italy
364,Russia
365,Belize
366,Japan
367,Lithuania
368,Algeria
369,Latvia
370,South Korea
371,Moldova
372,Romania
373,Bolivia
374,Turkmenistan
375,Kazakhstan
376,North Cyprus
377,Slovenia
378,Peru
379,Mauritius
380,Cyprus
381,Estonia
382,Belarus
383,Libya
384,Turkey
385,Paraguay
386,"Hong Kong S.A.R., China"
387,Philippines
388,Serbia
389,Jordan
390,Hungary
391,Jamaica
392,Croatia
393,Kosovo
394,China
395,Pakistan
396,Indonesia
397,Venezuela
398,Montenegro
399,Morocco
400,Azerbaijan
401,Dominican Republic
402,Greece
403,Lebanon
404,Portugal
405,Bosnia and Herzegovina
406,Honduras
407,Macedonia
408,Somalia
409,Vietnam
410,Nigeria
411,Tajikistan
412,Bhutan
413,Kyrgyzstan
414,Nepal
415,Mongolia
416,South Africa
417,Tunisia
418,Palestine
419,Egypt
420,Bulgaria
421,Sierra Leone
422,Cameroon
423,Iran
424,Albania
425,Bangladesh
426,Namibia
427,Kenya
428,Mozambique
429,Myanmar
430,Senegal
431,Zambia
432,Iraq
433,Gabon
434,Ethiopia
435,Sri Lanka
436,Armenia
437,India
438,Mauritania
439,Republic of the Congo
440,Georgia
441,Democratic Republic of the Congo
442,Mali
443,Ivory Coast
444,Cambodia
445,Sudan
446,Ghana
447,Ukraine
448,Uganda
449,Burkina Faso
450,Niger
451,Malawi
452,Chad
453,Zimbabwe
